c3,c4,map,mat,jjamap,djfmap,long,lat,lc3,lc4,clong,clat,resid1,predict1
0.65,0,199,12.4,0.12,0.45,119.55,46.4,-0.124938737,-1,13.14986301,6.295753425,-0.029229334,-0.095709403
0.65,0,469,7.5,0.24,0.29,114.27,47.32,-0.124938737,-1,7.869863014,7.215753425,-0.028808495,-0.096130242
0.76,0.01,536,7.2,0.24,0.2,110.78,45.78,-0.065501549,-0.958607315,4.379863014,5.675753425,0.168066337,-0.233567886
0.75,0.18,476,8.2,0.35,0.15,101.87,43.95,-0.070581074,-0.552841969,-4.530136986,3.845753425,0.323799098,-0.394380172
0.33,0.28,484,4.8,0.4,0.14,102.82,46.9,-0.366531544,-0.420216403,-3.580136986,6.795753425,-0.096909928,-0.269621617
0.03,0.83,623,12,0.4,0.11,99.38,38.87,-0.886056648,-0.031517051,-7.020136986,-1.234246575,-0.311000817,-0.575055831
0,0.31,259,14.5,0.47,0.17,106.75,32.62,-1,-0.387216143,0.349863014,-7.484246575,-0.07805559,-0.92194441
0.02,0.87,969,15.3,0.3,0.14,96.55,36.95,-0.920818754,-0.013228266,-9.850136986,-3.154246575,-0.310602766,-0.610215988
0.05,0.72,542,13.9,0.44,0.13,101.53,35.3,-0.823908741,-0.086186148,-4.870136986,-4.804246575,-0.103718216,-0.720190525
0.05,0.44,421,8.5,0.31,0.14,104.6,40.82,-0.823908741,-0.26760624,-1.800136986,0.715753425,-0.307346581,-0.51656216
0.36,0.41,446,5.1,0.41,0.15,102.5,47.75,-0.337242168,-0.292429824,-3.900136986,7.645753425,-0.097217769,-0.240024399
0,0.5,376,11.2,0.51,0.17,105.55,33.48,-1,-0.22184875,-0.850136986,-6.624246575,-0.141350847,-0.858649153
0.21,0.7,661,17.8,0.27,0.16,99.23,33.33,-0.508638306,-0.096910013,-7.170136986,-6.774246575,0.244260809,-0.752899115
0.51,0.25,575,6.1,0.36,0.16,99.1,45.33,-0.214670165,-0.455931956,-7.300136986,5.225753425,0.152462599,-0.367132764
0.07,0.78,885,12.9,0.37,0.12,96.6,39.1,-0.769551079,-0.055517328,-9.800136986,-1.004246575,-0.215446363,-0.554104716
0.29,0.7,556,8.6,0.38,0.12,101.8,41.55,-0.408935393,-0.096910013,-4.600136986,1.445753425,0.077154436,-0.486089829
0.05,0,344,6.6,0.18,0.35,112.67,43.73,-0.823908741,-1,6.269863014,3.625753425,-0.481468095,-0.342440646
0.13,0,415,6,0.22,0.33,112.15,44.25,-0.638272164,-1,5.749863014,4.145753425,-0.324825739,-0.313446425
0,0.31,347,18.9,0.41,0.12,102.92,29.58,-1,-0.387216143,-3.480136986,-10.52424658,-0.029196515,-0.970803485
0.65,0.13,575,5.3,0.36,0.13,103.45,43.53,-0.124938737,-0.638272164,-2.950136986,3.425753425,0.27736623,-0.402304967
0,0.76,477,13.9,0.5,0.22,110.5,31.6,-1,-0.065501549,4.099863014,-8.504246575,0.053606874,-1.053606874
0.89,0,370,3.5,0.45,0.19,107.72,50.7,-0.004364805,-1,1.319863014,10.59575342,0.007697341,-0.012062146
0.08,0.3,537,16.7,0.32,0.12,101.18,32.97,-0.744727495,-0.397940009,-5.220136986,-7.134246575,0.056141284,-0.800868778
0.47,0.37,870,15.4,0.29,0.15,97.23,36.05,-0.244125144,-0.327902142,-9.170136986,-4.054246575,0.397643239,-0.641768384
0,0,356,7.3,0.18,0.31,113.08,41.87,-1,-1,6.679863014,1.765753425,-0.541851922,-0.458148078
0,0.42,570,12.2,0.42,0.24,109.12,32,-1,-0.283996656,2.719863014,-8.104246575,0.001808112,-1.001808112
0.21,0.48,457,8.8,0.36,0.13,102.33,43.75,-0.508638306,-0.236572006,-4.070136986,3.645753425,-0.109210452,-0.399427854
0.29,0,327,9.5,0.16,0.31,113.25,38.17,-0.408935393,-1,6.849863014,-1.934246575,0.285119229,-0.694054622
0.35,0.31,176,13.8,0.25,0.28,111.87,37.1,-0.346787486,-0.387216143,5.469863014,-3.004246575,0.402661465,-0.749448951
0.28,0.4,345,6.4,0.46,0.14,104.47,45.03,-0.420216403,-0.301029996,-1.930136986,4.925753425,-0.089223466,-0.330992938
0.45,0,405,5.9,0.4,0.12,116.75,39.82,-0.259637311,-1,10.34986301,-0.284246575,0.340376018,-0.600013329
0.31,0,375,5.7,0.16,0.29,107.17,41.42,-0.387216143,-1,0.769863014,1.315753425,0.1017529,-0.488969043
0.02,0.11,231,12.1,0.29,0.21,111.3,38.52,-0.920818754,-0.677780705,4.899863014,-1.584246575,-0.261088373,-0.659730381
0.49,0,723,11.2,0.14,0.34,111.95,40.17,-0.229147988,-1,5.549863014,0.065753425,0.334101252,-0.563249241
0.36,0,365,6.9,0.15,0.31,114.9,39.16,-0.337242168,-1,8.499863014,-0.944246575,0.301391816,-0.638633984
0.01,0.95,373,11.5,0.35,0.18,104.5,38.55,-0.958607315,0.021189299,-1.900136986,-1.554246575,-0.3419987,-0.616608615
0,0.6,733,9.4,0.23,0.37,112.35,35.27,-1,-0.15490196,5.949863014,-4.834246575,-0.132979211,-0.867020789
0,0.84,351,11.7,0.45,0.18,105.08,34.28,-1,-0.026872146,-1.320136986,-5.824246575,-0.185912642,-0.814087358
0.63,0,244,7.2,0.2,0.29,110.38,40.47,-0.13667714,-1,3.979863014,0.365753425,0.405548291,-0.542225431
0.03,0,244,7.2,0.2,0.29,109.65,40.45,-0.886056648,-1,3.249863014,0.345753425,-0.343998067,-0.542058581
0.07,0,207,7.2,0.22,0.28,109.75,39.88,-0.769551079,-1,3.349863014,-0.224246575,-0.195426681,-0.574124398
0.12,0,646,10,0.11,0.36,111.87,39.92,-0.657577319,-1,5.469863014,-0.184246575,-0.079343854,-0.578233466
0.36,0,593,11,0.13,0.35,111.75,40.12,-0.337242168,-1,5.349863014,0.015753425,0.228543163,-0.565785331
0.63,0.15,409,7.5,0.3,0.2,106.48,45.82,-0.13667714,-0.602059991,0.079863014,5.715753425,0.138825991,-0.275503131
0.86,0.03,409,7.5,0.3,0.2,106.48,45.87,-0.017728767,-0.886056648,0.079863014,5.765753425,0.255345599,-0.273074366
0.47,0.12,409,7.5,0.3,0.2,106.47,45.88,-0.244125144,-0.657577319,0.069863014,5.775753425,0.028567763,-0.272692908
0.58,0.05,409,7.5,0.3,0.2,106.37,45.85,-0.167491087,-0.823908741,-0.030136986,5.745753425,0.107694594,-0.275185681
0.68,0.02,495,7.9,0.32,0.17,106,45.48,-0.107905397,-0.920818754,-0.400136986,5.375753425,0.188687052,-0.29659245
0.71,0.11,717,7.5,0.34,0.15,97,43.5,-0.091514981,-0.677780705,-9.400136986,3.395753425,0.344738885,-0.436253867
0.06,0.76,935,20.7,0.23,0.22,96.83,30.58,-0.795880017,-0.065501549,-9.570136986,-9.524246575,-0.011972778,-0.783907239
0.04,0.86,976,21.2,0.29,0.18,97,29,-0.853871964,-0.017728767,-9.400136986,-11.10424658,-0.02286529,-0.831006675
0.14,0.71,1011,17.7,0.23,0.19,96,33.75,-0.619788758,-0.091514981,-10.40013699,-6.354246575,0.065012487,-0.684801245
0.06,0.8,823,19.5,0.2,0.21,97.17,31.33,-0.795880017,-0.045757491,-9.230136986,-8.774246575,-0.0245082,-0.771371817
0.34,0,207,7.2,0.22,0.28,109.83,39.66,-0.356547324,-1,3.429863014,-0.444246575,0.230170222,-0.586717546
0.31,0,321,6.5,0.19,0.35,110.25,40.08,-0.387216143,-1,3.849863014,-0.024246575,0.177036929,-0.564253072
0.21,0,418,5.9,0.2,0.38,110.83,40.5,-0.508638306,-1,4.429863014,0.395753425,0.032625701,-0.541264007
0.69,0,418,5.9,0.2,0.38,110.75,40.58,-0.102372909,-1,4.349863014,0.475753425,0.434100725,-0.536473634
0.48,0,270,6.9,0.21,0.27,110,40.5,-0.236572006,-1,3.599863014,0.395753425,0.303291434,-0.539863441
0.02,0,327,9.5,0.16,0.31,113.25,38.5,-0.920818754,-1,6.849863014,-1.604246575,-0.247825644,-0.67299311
0.08,0.28,327,9.5,0.16,0.31,113.25,38.5,-0.744727495,-0.420216403,6.849863014,-1.604246575,-0.071734385,-0.67299311
0.11,0.63,841,20.1,0.23,0.22,98.33,30.25,-0.677780705,-0.13667714,-8.070136986,-9.854246575,0.152143104,-0.829923809
0.11,0,332,7.8,0.12,0.4,115.75,40.33,-0.677780705,-1,9.349863014,0.225753425,-0.116407488,-0.561373218
0.23,0.17,421,3.9,0.29,0.18,105.28,41.12,-0.48148606,-0.568636236,-1.120136986,1.015753425,0.021971678,-0.503457738
0.18,0.66,527,7.4,0.28,0.16,104.82,41.25,-0.552841969,-0.119186408,-1.580136986,1.145753425,-0.055346878,-0.497495091
0.05,0.68,430,9.5,0.27,0.16,105.12,42.07,-0.823908741,-0.107905397,-1.280136986,1.965753425,-0.363734244,-0.460174497
0.19,0.24,512,2,0.42,0.12,97.5,49.87,-0.537602002,-0.468521083,-8.900136986,9.765753425,-0.284475022,-0.25312698
0.48,0.4,611,4.2,0.39,0.16,96.62,47.75,-0.236572006,-0.301029996,-9.780136986,7.645753425,0.089542069,-0.326114076
0.02,0.05,169,17.1,0.28,0.32,116.08,36.83,-0.920818754,-0.823908741,9.679863014,-3.274246575,-0.113074516,-0.807744238
0,0.04,180,15.1,0.1,0.49,117.83,36,-1,-0.853871964,11.42986301,-4.104246575,-0.113303486,-0.886696514
0,0,117,18.1,0.21,0.39,116.25,36.67,-1,-1,9.849863014,-3.434246575,-0.179271041,-0.820728959
0.07,0.8,789,12.9,0.34,0.13,97.62,38.75,-0.769551079,-0.045757491,-8.780136986,-1.354246575,-0.200491782,-0.569059297
0.31,0.39,892,6.6,0.35,0.15,93.2,45.4,-0.387216143,-0.30980392,-13.20013699,5.295753425,0.032835434,-0.420051577
0.72,0.01,352,2,0.46,0.14,106.63,52.13,-0.086186148,-0.958607315,0.229863014,12.02575342,-0.120868985,0.034682837