"Female","Month","Repro","BCI","NewMeanGroup","Rain"
"446","Susan","Jan","MPY","2",6.67,149.15
"447","Cyprus","Feb","MPY","3",2.75,135.3
"448","Jacquei","Feb","MPY","3",6.11,135.3
"449","Mary","Feb","MPY","3",5.22,135.3
"450","Susan","Feb","MPY","2",4.3,135.3
"451","Jacquei","Mar","MPY","3",8.4,30.45
"452","Mary","Mar","MPY","3",11.625,30.45
"453","Enid","Apr","MPY","3",6.125,66.2
"454","Jacquei","Apr","MPY","3",8.125,66.2
"455","Mary","Apr","MPY","3",5.75,66.2
"456","Amanda","May","MPY","3",6,59.8
"457","Amber","May","MPY","3",7.88,59.8
"458","Jacquei","May","MPY","3",7.3,59.8
"459","Nikki","May","MPY","3",6.38,59.8
"460","Sally","May","MPY","3",6.7,59.8
"461","Amanda","Jun","MPY","2",4.18,47.1
"462","Amber","Jun","MPY","3",6.11,47.1
"463","Candice","Jun","MPY","2",4.5,47.1
"464","Odette","Jun","MPY","3",6.63,47.1
"465","Stripes","Jul","MPY","3",5.9,47.1
"466","Blondie","Oct","NPY","3",4.27,59.55
"467","Lydia","Nov","NPY","2",5.75,92.45
"468","Cotton","Dec","NPY","3",4.54,78.5
"469","Brigit","Feb","NPY","2",5,52.6
"470","Blondie","Sep","NPY","2",8.23,50.8
"471","Jo","Sep","NPY","2",5.2,50.8
"472","Nikki","Sep","NPY","2",8.38,50.8
"473","Poppy","Sep","NPY","2",5.17,50.8
"474","Poppy","Oct","NPY","1",3.5,59.55
"475","Darcy","Dec","NPY","1",10.89,78.5
"476","Lydia","Dec","NPY","3",12.36,78.5
"477","Amber","Sep","NPY","1",9,6
"478","Hope","Jul","NPY","2",3.86,40.2
"479","Amber","Aug","NPY","2",8.35,11
"480","Lumpy","Feb","NPY","2",5.73,52.6
"481","Mollie","Aug","NPY","2",7.4,12.75
"482","Hannah","Sep","NPY","2",4.56,50.8
"483","Amber","Oct","NPY","2",5.7,59.55
"484","Jill","Oct","NPY","2",5.73,59.55
"485","Amber","Nov","NPY","2",7.64,92.45
"486","Amber","Dec","NPY","2",6.54,78.5
"487","Deberah","Dec","NPY","1",5.27,78.5
"488","Justine","Dec","NPY","1",4.22,78.5
"489","Poppy","Dec","NPY","2",4.44,78.5
"490","Poppy","Aug","NPY","1",3.13,54.5
"491","Kiwi","Sep","NPY","2",15.4,2.8
"492","Indi","Oct","NPY","2",10.42,27.8
"493","Kiwi","Oct","NPY","2",4.38,27.8
"494","Jill","Jul","NPY","1",3.25,80.4
"495","Amber","Nov","NPY","1",4.22,59.8
"496","Amber","Sep","NPY","1",6.5,49.8
"497","Amy","Jul","NPY","1",4.29,19
"498","Bonnie","Sep","NPY","1",4.22,50.8
"499","Jill","Sep","NPY","1",5.38,50.8
"500","Nina","Sep","NPY","3",7.61,50.8
"501","Blondie","Nov","NPY","3",6.82,92.45
"502","Deberah","Nov","NPY","1",10,92.45
"503","Hope","Nov","NPY","3",6.75,92.45
"504","Camilla","Dec","NPY","1",5.5,78.5
"505","Odette","Dec","NPY","3",10.18,78.5
"506","Qantas","Dec","NPY","3",9.27,78.5
"507","Lumpy","Jul","NPY","1",7.78,42.2
"508","Coffee","Sep","NPY","2",11.38,2.8
"509","Maple","Sep","NPY","1",3.64,2.8
"510","Stumpy","Sep","NPY","2",11.54,2.8
"511","Brie","Oct","NPY","2",9.7,27.8
"512","Goggles","Nov","NPY","1",9,37.1
"513","Jacquei","Jan","NPY","2",5.2,101.45
"514","Hazel","Jan","NPY","2",4.64,13.8
"515","Amanda","May","NPY","2",8.11,68.4
"516","Cashew","May","NPY","2",8.88,68.4
"517","Cashew","Jul","NPY","3",6.29,40.2
"518","Coral","Sep","NPY","2",9.27,49.8
"519","Lydia","Sep","NPY","2",6.75,49.8
"520","Amber","Sep","NPY","1",5.61,50.8
"521","Mollie","Sep","NPY","2",7,50.8
"522","Bonnie","Oct","NPY","1",3.4,59.55
"523","Candice","Oct","NPY","1",4.45,59.55
"524","Hope","Oct","NPY","3",6,59.55
"525","Nina","Oct","NPY","2",5.38,59.55
"526","Anne","Nov","NPY","3",7.79,92.45
"527","Bonnie","Nov","NPY","2",11.88,92.45
"528","Qantas","Nov","NPY","2",8,92.45
"529","Jo","Dec","NPY","3",11.25,78.5
"530","Deberah","Jul","NPY","1",9.38,42.2
"531","Lumpy","Aug","NPY","1",10.64,54.5
"532","Taz","Oct","NPY","3",3.82,27.8
"533","Jill","Nov","NPY","2",3.9,37.1
"534","Lauren","Nov","NPY","2",6,37.1
"535","Longnose","Nov","NPY","1",8,37.1
"536","Goggles","Jan","NPY","2",5.33,101.45
"537","Abigail","Jul","NPY","2",3.45,80.4
"538","Helen","Jul","NPY","3",3.63,80.4
"539","Stripes","Aug","NPY","2",5.5,32.4
"540","Nina","Nov","NPY","1",3.13,59.8
"541","Bene","Jan","NPY","2",5.4,13.8
"542","Blondie","Jan","NPY","1",5.45,13.8
"543","Cotton","Jan","NPY","2",6.56,13.8
"544","June","May","NPY","3",9,68.4
"545","Sunbeam","Jul","NPY","2",5.43,40.2
"546","Qantas","Aug","NPY","2",8.5,11
"547","Star","Aug","NPY","2",2.75,11
"548","Tegan","Aug","NPY","2",6,11
"549","Abigail","Sep","NPY","2",11,49.8
"550","Tegan","Sep","NPY","2",7.86,49.8
"551","Hope","Sep","NPY","3",7.2,50.8
"552","Nina","Nov","NPY","1",13,92.45
"553","Bonnie","Aug","NPY","1",15.13,54.5
"554","Hope","Sep","NPY","2",10,2.8
"555","Bonnie","Oct","NPY","2",5.45,27.8
"556","Goggles","Oct","NPY","2",5.71,27.8
"557","Longnose","Oct","NPY","1",6.47,27.8
"558","Lydia","Oct","NPY","3",7.17,27.8
"559","Francis","Nov","NPY","3",5.5,37.1
"560","Dianne","Jan","NPY","1",3.13,101.45
"561","Caitlyn","Mar","NPY","2",6.5,74.3
"562","Abigail","Jun","NPY","2",5.38,20.3
"563","Nigella","Jul","NPY","2",3.63,80.4
"564","Sunbeam","Aug","NPY","2",4.9,32.4
"565","Abigail","Sep","NPY","2",5.13,6
"566","Helen","Sep","NPY","3",4.7,6
"567","Tilly","Nov","NPY","1",4.38,59.8
"568","Nancy","Jan","NPY","2",5.5,13.8
"569","Naomi","Jan","NPY","1",5.45,13.8
"570","Granite","Jul","NPY","1",4.27,40.2
"571","Qantas","Jul","NPY","2",5.71,40.2
"572","Granite","Aug","NPY","1",4.67,11
"573","Naomi","Aug","NPY","2",10.23,11
"574","Cashew","Sep","NPY","3",9.29,49.8
"575","Anne","Sep","NPY","2",8.2,50.8
"576","Jo","Oct","NPY","1",6.2,59.55
"577","Dianne","Sep","NPY","2",11.37,2.8
"578","Lumpy","Sep","NPY","1",18.23,2.8
"579","Berry","Oct","NPY","2",11.82,27.8
"580","Francis","Oct","NPY","3",7.38,27.8
"581","Hope","Oct","NPY","2",6.2,27.8
"582","Jill","Oct","NPY","1",5.15,27.8
"583","Lauren","Oct","NPY","2",6.69,27.8
"584","Stumpy","Oct","NPY","2",11.91,27.8
"585","Bonnie","Nov","NPY","2",8.7,37.1
"586","Naomi","Apr","NPY","2",5.88,126
"587","Bubbles","Jul","NPY","3",7,80.4
"588","Stripes","Jul","NPY","1",4.45,80.4
"589","Nina","Aug","NPY","1",7.09,32.4
"590","Fran","Sep","NPY","1",9.25,6
"591","Martha","Sep","NPY","2",5.5,6
"592","Nina","Sep","NPY","1",11.36,6
"593","Dash","Nov","NPY","1",6.25,59.8
"594","Star","Nov","NPY","2",4.75,59.8
"595","Zaza","Jan","NPY","2",4.13,13.8
"596","Nancy","May","NPY","2",6.25,68.4
"597","Naomi","May","NPY","2",3.38,68.4
"598","Sunbeam","May","NPY","2",10,68.4
"599","Cashew","Aug","NPY","2",8,11
"600","Celandine","Sep","NPY","2",9,49.8
"601","June","Sep","NPY","3",8.73,49.8
"602","Mindi","Sep","NPY","2",9.69,49.8
"603","Qantas","Oct","NPY","2",6.11,59.55
"604","Bonnie","Sep","NPY","1",22.27,2.8
"605","Ansett","Oct","NPY","3",9.18,27.8
"606","Lumpy","Oct","NPY","1",5.83,27.8
"607","Robin","Jun","NPY","2",5.3,20.3
"608","Sunbeam","Jul","NPY","2",6.63,80.4
"609","Bubbles","Sep","NPY","2",9.13,6
"610","Cornflower","Sep","NPY","2",6.13,6
"611","Sunbeam","Sep","NPY","2",9,6
"612","Ugly","Sep","NPY","2",5.33,6
"613","Francis","Nov","NPY","2",5.38,59.8
"614","Daniella","Jan","NPY","2",5.45,13.8
"615","Sunbeam","Jan","NPY","2",4.6,13.8
"616","Lottie","May","NPY","2",9.13,68.4
"617","June","Aug","NPY","1",9.33,11
"618","Lottie","Aug","NPY","2",9.33,11
"619","Nina","Aug","NPY","2",9.36,11
"620","Pickles","Sep","NPY","2",11.95,49.8
"621","Star","Sep","NPY","2",5.59,49.8
"622","Amanda","Sep","NPY","2",5.89,80.5
"623","Amber","Sep","NPY","2",7.7,80.5
"624","Enid","Sep","NPY","3",5.13,80.5
"625","Jacquei","Sep","NPY","3",5.11,80.5
"626","Jill","Sep","NPY","2",8.56,80.5
"627","Odette","Sep","NPY","3",5.92,80.5
"628","Sally","Sep","NPY","2",4.33,80.5
"629","Amanda","Oct","NPY","3",9,123.8
"630","Amber","Oct","NPY","3",11.22,123.8
"631","Amy","Oct","NPY","1",8.21,123.8
"632","Domino","Oct","NPY","2",8.15,123.8
"633","Jill","Oct","NPY","3",6.5,123.8
"634","Odette","Oct","NPY","3",12.1,123.8
"635","Sally","Oct","NPY","2",7.36,123.8
"636","Odette","Nov","NPY","3",8.25,80.6
"637","Amber","Dec","NPY","2",8,48.8
"638","Amy","Dec","NPY","2",3.78,48.8
"639","Domino","Dec","NPY","2",4.18,48.8
"640","Jill","Dec","NPY","2",6.11,48.8
"641","Jo","Dec","NPY","2",4.13,48.8
"642","Odette","Dec","NPY","3",6.33,48.8
"643","Odette","Jan","NPY","3",6.25,149.15
"644","Amy","Feb","NPY","1",4.5,135.3
"645","Odette","Feb","NPY","3",6.5,135.3
"646","Rachel","Feb","NPY","1",3.73,135.3
"647","Rachel","Mar","NPY","2",12.44,30.45
"648","Amy","Apr","NPY","2",6.44,66.2
"649","Amy","May","NPY","2",5.42,59.8
"650","Amy","Jun","NPY","2",4.5,47.1
"651","Camilla","Nov","NPY","1",4.8,92.45
"652","Mollie","Dec","SPY","2",6.56,78.5
"653","Amanda","Jul","SPY","2",6.35,40.2
"654","Pixie","Jul","SPY","2",3.9,19
"655","Lydia","Sep","SPY","2",6.75,50.8
"656","Opal","Sep","SPY","3",4.82,50.8
"657","Olive","Oct","SPY","1",5.5,59.55
"658","Blondie","Dec","SPY","3",12,78.5
"659","Amber","Aug","SPY","2",6.08,32.4
"660","Esther","Jul","SPY","2",6.17,19
"661","Lumpy","Aug","SPY","1",5.3,12.75
"662","Amy","Sep","SPY","1",5.69,50.8
"663","Jill","Dec","SPY","1",6.7,78.5
"664","Nina","Apr","SPY","3",2.5,15.1
"665","Hazel","Jul","SPY","2",8.63,42.2
"666","Enid","Nov","SPY","2",3.91,37.1
"667","Hazel","Jun","SPY","3",2.5,20.3
"668","Jacquei","Jun","SPY","2",5.67,20.3
"669","Granite","Jul","SPY","2",3.25,80.4
"670","Lydia","Jul","SPY","2",3.5,80.4
"671","Dianne","Aug","SPY","2",6.25,12.75
"672","Ivy","Aug","SPY","2",7.63,12.75
"673","Lydia","Aug","SPY","2",8.42,12.75
"674","Lumpy","Sep","SPY","1",4.46,50.8
"675","Shaddow","Sep","SPY","2",3.88,50.8
"676","Amy","Oct","SPY","1",5.33,59.55
"677","Lumpy","Oct","SPY","1",5.11,59.55
"678","Yvonne","Oct","SPY","1",6.89,59.55
"679","Dot","Jul","SPY","1",4,42.2
"680","Ellie","Aug","SPY","1",13,54.5
"681","Lydia","Aug","SPY","3",7.75,54.5
"682","Spot","Oct","SPY","1",3.6,27.8
"683","Hope","Jun","SPY","3",2.88,20.3
"684","Bene","Aug","SPY","3",4.3,32.4
"685","Granite","Sep","SPY","1",5.88,6
"686","Firefly","May","SPY","1",7.5,68.4
"687","Firefly","Aug","SPY","2",7.75,11
"688","Grace","Aug","SPY","1",5,11
"689","Odette","Aug","SPY","2",9.47,11
"690","Delilah","Sep","SPY","1",11.19,49.8
"691","Cotton","Jul","SPY","2",8.38,19
"692","Nikita","Jul","SPY","1",5.53,19
"693","Robin","Jul","SPY","2",6,19
"694","Susan","Oct","SPY","2",5.4,59.55
"695","Amy","Jul","SPY","2",4.62,42.2
"696","Apanie","Jul","SPY","2",9.5,42.2
"697","Longnose","Jul","SPY","2",7.25,42.2
"698","Lydia","Jul","SPY","3",6,42.2
"699","Deberah","Aug","SPY","1",7.25,54.5
"700","Coffee","Oct","SPY","2",10.22,27.8
"701","Mollie","Nov","SPY","3",4.25,37.1
"702","Longnose","Jan","SPY","1",6.25,101.45
"703","Daniella","Mar","SPY","3",3.13,74.3
"704","Lauren","Mar","SPY","2",5.63,74.3
"705","Cotton","Jul","SPY","2",8.09,80.4
"706","Ellie","Jul","SPY","2",6.9,80.4
"707","Michelle","Aug","SPY","3",4.75,32.4
"708","Robin","Sep","SPY","2",5.11,6
"709","Nina","Oct","SPY","1",4.63,23.9
"710","Amber","Jan","SPY","1",6.63,13.8
"711","Amanda","Aug","SPY","2",8.4,11
"712","Domino","Aug","SPY","2",5.67,11
"713","Domino","Sep","SPY","1",9.75,49.8
"714","Eucalypt","Sep","SPY","2",7.33,49.8
"715","Dash","Jul","SPY","2",7,19
"716","Domino","Jul","SPY","2",3.91,19
"717","Amy","Aug","SPY","1",8.5,19
"718","Jacquei","Aug","SPY","2",8.83,12.75
"719","Robin","Aug","SPY","2",9.67,12.75
"720","Dash","Sep","SPY","1",8.83,50.8
"721","Dion","Sep","SPY","3",7.64,50.8
"722","Jacquei","Sep","SPY","3",5.73,50.8
"723","Robin","Sep","SPY","2",6.8,50.8
"724","Anne","Dec","SPY","2",5.63,78.5
"725","Bonnie","Dec","SPY","1",7.08,78.5
"726","Dianne","Dec","SPY","2",7.9,78.5
"727","Nina","Dec","SPY","2",6.75,78.5
"728","Darcy","Jul","SPY","1",6.88,42.2
"729","Darcy","Aug","SPY","1",10.5,54.5
"730","Dash","Sep","SPY","2",9.08,2.8
"731","Spot","Sep","SPY","1",15.38,2.8
"732","Deberah","Oct","SPY","1",6.23,27.8
"733","Goggles","Mar","SPY","2",6.88,74.3
"734","Dash","Jun","SPY","2",6.25,20.3
"735","Hope","Jul","SPY","2",2.67,80.4
"736","Michelle","Jul","SPY","3",6.17,80.4
"737","Naomi","Jul","SPY","2",5.08,80.4
"738","Sadie","Jul","SPY","3",8.08,80.4
"739","Aide","Aug","SPY","3",4.78,32.4
"740","Ansett","Aug","SPY","2",5.25,32.4
"741","Delilah","Aug","SPY","2",7.36,32.4
"742","Hope","Aug","SPY","2",6.3,32.4
"743","Matilda","Aug","SPY","3",5,32.4
"744","Robin","Aug","SPY","2",6,32.4
"745","Tilly","Aug","SPY","2",7.64,32.4
"746","Celandine","Sep","SPY","2",4.63,6
"747","Naomi","Sep","SPY","2",9,6
"748","Spot","Sep","SPY","1",6.4,6
"749","Qantas","Jan","SPY","1",3.09,13.8
"750","Bubbles","May","SPY","2",10,68.4
"751","Cotton","May","SPY","2",8.38,68.4
"752","Hazel","May","SPY","2",6.5,68.4
"753","Eucalypt","Jun","SPY","2",11.25,46.3
"754","Cotton","Jul","SPY","2",5.09,40.2
"755","Eucalypt","Jul","SPY","3",6.36,40.2
"756","Goggles","Jul","SPY","2",4.54,40.2
"757","Sara","Jul","SPY","3",5.4,40.2
"758","Themeda","Jul","SPY","3",4.36,40.2
"759","Enid","Aug","SPY","2",9,11
"760","Maude","Aug","SPY","3",7.71,11
"761","Nancy","Aug","SPY","2",8.1,11
"762","Amanda","Sep","SPY","3",13,49.8
"763","Bene","Sep","SPY","2",8.63,49.8
"764","Coffee","Sep","SPY","2",8.18,49.8
"765","Hope","Sep","SPY","2",9.77,49.8
"766","Dash","Aug","SPY","2",9,12.75
"767","Rachel","Sep","SPY","3",6.75,50.8
"768","Susan","Sep","SPY","1",6.89,50.8
"769","Ansett","Aug","SPY","2",8.88,54.5
"770","Delilah","Aug","SPY","1",13.5,54.5
"771","Alison","Sep","SPY","2",16,2.8
"772","Berry","Sep","SPY","2",18,2.8
"773","Deberah","Sep","SPY","1",18.82,2.8
"774","Nikita","Sep","SPY","1",21.36,2.8
"775","Olive","Sep","SPY","1",15.4,2.8
"776","Robin","Sep","SPY","3",9.54,2.8
"777","Tilly","Sep","SPY","2",16.79,2.8
"778","Delilah","Oct","SPY","1",6.71,27.8
"779","Olive","Oct","SPY","1",7.69,27.8
"780","Darcy","Mar","SPY","2",5.13,74.3
"781","Bene","Jun","SPY","3",3.75,20.3
"782","Francis","Jun","SPY","3",3.75,20.3
"783","Aide","Jul","SPY","3",6.4,80.4
"784","Bene","Jul","SPY","2",3.18,80.4
"785","Francis","Jul","SPY","3",4.77,80.4
"786","Odette","Jul","SPY","2",3.64,80.4
"787","Tilly","Jul","SPY","2",5.7,80.4
"788","Bonnie","Aug","SPY","2",4.22,32.4
"789","Caitlyn","Aug","SPY","2",7.11,32.4
"790","Cotton","Aug","SPY","2",7.09,32.4
"791","Enid","Aug","SPY","2",3.13,32.4
"792","Milo","Aug","SPY","3",7,32.4
"793","Nigella","Aug","SPY","2",5.13,32.4
"794","Bene","Sep","SPY","2",10.18,6
"795","Magic","Sep","SPY","2",6.89,6
"796","Milo","Sep","SPY","3",8.33,6
"797","Pickles","Jan","SPY","2",6.67,13.8
"798","Abigail","May","SPY","2",7.22,68.4
"799","Bene","Jul","SPY","3",4.8,40.2
"800","Francis","Jul","SPY","2",6.2,40.2
"801","Nancy","Jul","SPY","2",4.71,40.2
"802","Sally","Jul","SPY","3",5.29,40.2
"803","Stripes","Jul","SPY","2",4,40.2
"804","Bene","Aug","SPY","3",7.17,11
"805","Coffee","Aug","SPY","2",8,11
"806","Eucalypt","Aug","SPY","2",11.77,11
"807","Jacquei","Oct","SPY","3",6.89,59.55
"808","Goggles","Aug","SPY","2",9.88,54.5
"809","Jo","Aug","SPY","1",11.88,54.5
"810","Delilah","Sep","SPY","1",19.06,2.8
"811","Pixie","Sep","SPY","2",14.54,2.8
"812","Margret","Oct","SPY","2",9.5,27.8
"813","Pixie","Oct","SPY","2",6.5,27.8
"814","Darcy","Jul","SPY","2",7.17,80.4
"815","Emma","Jul","SPY","2",8.17,80.4
"816","Apanie","Aug","SPY","1",7,32.4
"817","Darcy","Aug","SPY","2",6.2,32.4
"818","Aide","Sep","SPY","2",14.13,6
"819","Caitlyn","Sep","SPY","2",12.44,6
"820","Francis","Sep","SPY","2",10.13,6
"821","Stripes","Sep","SPY","2",6,6
"822","Abigail","Aug","SPY","3",7.35,11
"823","Ellie","Aug","SPY","2",11.06,11
"824","Matilda","Aug","SPY","2",7.7,11
"825","Sally","Aug","SPY","2",8.2,11
"826","Sunbeam","Aug","SPY","2",7.42,11
"827","Brigit","Sep","SPY","2",9.15,49.8
"828","Nina","Sep","SPY","2",9.58,49.8
"829","Sally","Sep","SPY","2",8.33,49.8
"830","Sunbeam","Sep","SPY","2",11.45,49.8
"831","Blondie","Jun","SPY","3",7.45,54.9
"832","Camilla","Jun","SPY","3",7,54.9
"833","Celine","Jun","SPY","3",7.17,54.9
"834","Deberah","Jun","SPY","2",7.33,54.9
"835","Ditto","Jun","SPY","3",5,54.9
"836","Enid","Jun","SPY","3",7.75,54.9
"837","Esther","Jun","SPY","2",6.67,54.9
"838","Firefly","Jun","SPY","3",6.5,54.9
"839","Goggles","Jun","SPY","2",5.13,54.9
"840","Jill","Jun","SPY","2",6,54.9
"841","Julliet","Jun","SPY","2",5.8,54.9
"842","Lumpy","Jun","SPY","3",6.63,54.9
"843","Stripes","Jun","SPY","2",8,54.9
"844","Blondie","Jul","SPY","3",5.89,31.4
"845","Deberah","Jul","SPY","2",8.56,31.4
"846","Esther","Jul","SPY","3",6.67,31.4
"847","Julliet","Jul","SPY","3",10.7,31.4
"848","Lumpy","Jul","SPY","2",9.4,31.4
"849","Stripes","Jul","SPY","3",5.56,31.4
"850","Lumpy","Aug","SPY","1",8.5,95.1
"851","Lydia","Aug","SPY","2",8.63,95.1
"852","Delilah","Sep","SPY","2",7.78,80.5
"853","Susan","Sep","SPY","1",5.1,80.5
"854","Darcy","Oct","SPY","3",9.5,123.8
"855","Mary","Oct","SPY","2",5.44,123.8
"856","Shaddow","Oct","SPY","3",7.2,123.8
"857","Susan","Oct","SPY","2",9.3,123.8
"858","Enid","Nov","SPY","3",6.11,80.6
"859","Sally","Nov","SPY","2",8.15,80.6
"860","Susan","Nov","SPY","3",6,80.6
"861","Amanda","Dec","SPY","2",6.2,48.8
"862","Enid","Dec","SPY","3",6.91,48.8
"863","Sally","Dec","SPY","3",5.36,48.8
"864","Amanda","Jan","SPY","2",6.8,149.15
"865","Enid","Jan","SPY","3",4.875,149.15
"866","Hazel","Jan","SPY","3",6.2,149.15
"867","Jacquei","Jan","SPY","3",5.375,149.15
"868","Mary","Jan","SPY","2",5,149.15
"869","Nina","Jan","SPY","3",7.56,149.15
"870","Sally","Jan","SPY","3",5.22,149.15
"871","Amanda","Mar","SPY","3",6.91,30.45
"872","Diamond","Mar","SPY","3",2,30.45
"873","Domino","Mar","SPY","2",7.91,30.45
"874","Enid","Mar","SPY","3",10.25,30.45
"875","Sally","Mar","SPY","3",3.44,30.45
"876","Tilly","Mar","SPY","2",9.91,30.45
"877","Amanda","Apr","SPY","3",10.44,66.2
"878","Amber","Apr","SPY","3",8.67,66.2
"879","Diamond","Apr","SPY","3",3.5,66.2
"880","Domino","Apr","SPY","3",4.75,66.2
"881","Kiwi","Apr","SPY","3",5.5,66.2
"882","Nina","Apr","SPY","3",9.78,66.2
"883","Rachel","Apr","SPY","3",4.89,66.2
"884","Sally","Apr","SPY","3",10.78,66.2
"885","Sophie","Apr","SPY","3",7.4,66.2
"886","Taz","Apr","SPY","3",5.5,66.2
"887","Tilly","Apr","SPY","3",8,66.2
"888","Candice","May","SPY","3",5.63,59.8
"889","Domino","May","SPY","2",7.67,59.8
"890","Jill","May","SPY","3",7.22,59.8
"891","Nina","May","SPY","3",5.2,59.8
